,single,complete,ward,average,gini_02,gini_03,gini_04,gini_05,gini_06
iris5,0.6905482710606584,0.6424121412570573,0.7378364388140282,0.6551396193118526,0.8472639106060426,0.8472639106060426,0.8472639106060426,0.8857420925974709,0.6728662576873315
iris,0.7635170681000877,0.7430805214080256,0.8497957418394768,0.8497957418394768,0.9234341632720612,0.9234341632720612,0.9234341632720612,0.7537945541461316,0.7537945541461316
jain,0.8037825414782548,0.7179120614049114,0.7836542504575217,0.9103382318034082,1.0,1.0,1.0,1.0,1.0
flame,0.7300235270476355,0.7320373358564891,0.6663559327394357,0.7300235270476355,1.0,1.0,1.0,1.0,1.0
R15,0.6457988727420597,0.9665364594589964,0.9798813605682672,0.9865425314055448,0.9865846688334936,0.9865846688334936,0.9865846688334936,0.8336722448344744,0.6457988727420597
spiral,1.0,0.3623401622477394,0.4211291045728174,0.4453915966129496,1.0,1.0,1.0,1.0,1.0
pathbased,0.5734246974016329,0.6467758233082541,0.6528469039665872,0.6663737830721304,0.7510884974198123,0.7510884974198123,0.7510884974198123,0.7510884974198123,0.7510884974198123
Compound,0.8305098499466435,0.8100341775100448,0.828979599089389,0.8845142548144468,0.8392569147788117,0.8547519056393218,0.8547519056393218,0.8547519056393218,0.8982267047670832
Aggregation,0.8652444832467558,0.9813322505402976,0.9864332498822834,0.9526796657195804,0.7897347998256786,0.8202043506604445,0.8735801484159923,0.9081352440551778,0.9138252995790658
g2-2-100,0.7065887753088961,0.6240149617747551,0.6141382800694549,0.6921902701714345,0.6012590675357559,0.6012590675357559,0.6373142438517369,0.6476039694784826,0.6476039694784826
